fov_id,true_label
2 (1).jpg,negative
2 (2).jpg,negative
2 (3).jpg,negative
2 (4).jpg,negative
2 (5).jpg,negative
2 (6).jpg,negative
2 (7).jpg,negative
2 (8).jpg,negative
2 (9).jpg,negative
2 (10).jpg,negative
2 (11).jpg,negative
2 (12).jpg,negative
2 (13).jpg,negative
2 (14).jpg,negative
2 (15).jpg,negative
2 (16).jpg,negative
2 (17).jpg,negative
2 (18).jpg,negative
2 (19).jpg,negative
2 (20).jpg,negative
3 (1).jpg,positive
3 (2).jpg,positive
3 (3).jpg,positive
3 (4).jpg,positive
3 (5).jpg,positive
3 (6).jpg,positive
3 (7).jpg,positive
3 (8).jpg,positive
3 (9).jpg,positive
3 (10).jpg,positive
3 (11).jpg,positive
3 (12).jpg,positive
3 (13).jpg,positive
3 (14).jpg,positive
3 (15).jpg,positive
3 (16).jpg,positive
3 (17).jpg,positive
3 (18).jpg,positive
3 (19).jpg,positive
3 (20).jpg,positive
