method,threshold,tp,fp,tn,fn,sensitivity,specificity,fp_per_negative
FOV_score_max,0.0,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.0010000000474974513,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.0020000000949949026,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.003000000026077032,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.004000000189989805,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.004999999888241291,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.006000000052154064,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.007000000216066837,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.00800000037997961,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.008999999612569809,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.009999999776482582,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.010999999940395355,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.012000000104308128,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.013000000268220901,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.014000000432133675,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.014999999664723873,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.01600000075995922,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.017000000923871994,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.017999999225139618,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.01899999938905239,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.019999999552965164,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.020999999716877937,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.02199999988079071,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.023000000044703484,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.024000000208616257,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.02500000037252903,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.026000000536441803,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.027000000700354576,20,20,0,0,1.0,0.0,1.0
FOV_score_max,0.02800000086426735,20,20,0,0,1.0,0.0,1.0
